Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),Relative Humidity (%),Rainfall (mm),Barometric Pressure (hPa),PM10 (ug/m^3),PM2.5 (ug/m^3),TSP (ug/m^3)
11/01/2015,09:00,40,1.1,144.3,1.0,26.5,51.6,0.0,967,7.6,2.4,21.8
11/01/2015,10:00,96,1.8,54.4,1.1,27.7,46.4,0.0,966,8.1,3.6,28.0
11/01/2015,11:00,71,0.7,99.9,1.4,29.0,42.3,0.0,965,12.0,4.5,28.4
11/01/2015,12:00,72,1.3,56.1,1.1,29.7,39.3,0.0,964,11.0,3.5,34.0
11/01/2015,13:00,84,1.0,81.7,1.0,29.9,39.5,0.0,964,9.2,3.7,22.7
11/01/2015,14:00,340,0.1,170.0,1.1,31.0,35.8,0.0,963,6.2,0.8,19.7
11/01/2015,15:00,89,2.2,50.5,1.4,31.2,37.3,0.0,962,3.1,0.1,34.0
11/01/2015,16:00,99,3.4,24.5,1.3,30.8,41.7,0.0,962,10.9,2.6,40.0
11/01/2015,17:00,103,4.7,11.1,1.1,29.7,49.4,0.0,962,15.0,2.4,42.2
11/01/2015,18:00,94,4.9,9.9,1.1,28.7,54.9,0.0,963,13.6,3.0,39.3
11/01/2015,19:00,81,5.0,8.5,1.0,27.6,57.4,0.0,964,12.5,4.7,28.7
11/01/2015,20:00,81,5.0,9.0,1.1,26.6,63.6,0.0,965,7.1,3.3,23.4
11/01/2015,21:00,78,4.6,10.0,1.2,25.5,70.7,0.0,965,9.0,5.1,21.1
11/01/2015,22:00,85,4.3,8.8,1.0,24.9,69.3,0.0,965,6.5,3.2,16.3
11/01/2015,23:00,82,4.3,8.6,0.9,24.4,66.9,0.0,964,4.6,1.9,12.6
